group,students,verwaltungskreis,gemeinde
9,382,Verwaltungskreis Seeland,Schüpfen
3,74,Verwaltungskreis Biel/Bienne,Schwadernau
2,807,Verwaltungskreis Bern-Mittelland,Schwarzenburg
7,67,Verwaltungskreis Oberaargau,Schwarzhäusern
7,95,Verwaltungskreis Oberaargau,Seeberg
9,241,Verwaltungskreis Seeland,Seedorf (BE)
1,6,Arrondissement administratif Jura bernois,Seehof
10,199,Verwaltungskreis Thun,Seftigen
4,393,Verwaltungskreis Emmental,Signau
10,360,Verwaltungskreis Thun,Sigriswil
9,45,Verwaltungskreis Seeland,Siselen
1,176,Arrondissement administratif Jura bernois,Sonceboz-Sombeval
1,103,Arrondissement administratif Jura bernois,Sonvilier
1,16,Arrondissement administratif Jura bernois,Sorvilier
1,12,Arrondissement administratif Jura bernois,Souboz
5,1237,Verwaltungskreis Frutigen-Niedersimmental,Spiez
8,90,Verwaltungskreis Obersimmental-Saanen,St. Stephan
10,1603,Verwaltungskreis Thun,Steffisburg
2,267,Verwaltungskreis Bern-Mittelland,Stettlen
9,388,Verwaltungskreis Seeland,Studen (BE)
4,588,Verwaltungskreis Emmental,Sumiswald
3,102,Verwaltungskreis Biel/Bienne,Sutz-Lattrigen
2,37,Verwaltungskreis Bern-Mittelland,Tägertschi
9,387,Verwaltungskreis Seeland,Täuffelen
1,437,Arrondissement administratif Jura bernois,Tavannes
10,362,Verwaltungskreis Thun,Thierachern
7,82,Verwaltungskreis Oberaargau,Thörigen
10,3923,Verwaltungskreis Thun,Thun
7,318,Verwaltungskreis Oberaargau,Thunstetten
2,217,Verwaltungskreis Bern-Mittelland,Toffen
4,95,Verwaltungskreis Emmental,Trachselwald
1,536,Arrondissement administratif Jura bernois,Tramelan
9,42,Verwaltungskreis Seeland,Treiten
2,41,Verwaltungskreis Bern-Mittelland,Trimstein
4,142,Verwaltungskreis Emmental,Trub
4,156,Verwaltungskreis Emmental,Trubschachen
9,44,Verwaltungskreis Seeland,Tschugg
3,125,Verwaltungskreis Biel/Bienne,Twann-Tüscherz
10,79,Verwaltungskreis Thun,Uebeschi
10,649,Verwaltungskreis Thun,Uetendorf
10,194,Verwaltungskreis Thun,Unterlangenegg
6,521,Verwaltungskreis Interlaken-Oberhasli,Unterseen
7,103,Verwaltungskreis Oberaargau,Ursenbach
2,541,Verwaltungskreis Bern-Mittelland,Urtenen-Schönbühl
10,204,Verwaltungskreis Thun,Uttigen
4,548,Verwaltungskreis Emmental,Utzenstorf
1,13,Arrondissement administratif Jura bernois,Vauffelin
2,468,Verwaltungskreis Bern-Mittelland,Vechigen
1,89,Arrondissement administratif Jura bernois,Villeret
9,57,Verwaltungskreis Seeland,Vinelz
10,17,Verwaltungskreis Thun,Wachseldorn
2,83,Verwaltungskreis Bern-Mittelland,Wald (BE)
2,180,Verwaltungskreis Bern-Mittelland,Walkringen
9,119,Verwaltungskreis Seeland,Walperswil
7,69,Verwaltungskreis Oberaargau,Walterswil (BE)
7,270,Verwaltungskreis Oberaargau,Wangen an der Aare
7,41,Verwaltungskreis Oberaargau,Wangenried
10,465,Verwaltungskreis Thun,Wattenwil
9,71,Verwaltungskreis Seeland,Wengi
2,582,Verwaltungskreis Bern-Mittelland,Wichtrach
7,313,Verwaltungskreis Oberaargau,Wiedlisbach
2,15,Verwaltungskreis Bern-Mittelland,Wiggiswil
6,278,Verwaltungskreis Interlaken-Oberhasli,Wilderswil
4,81,Verwaltungskreis Emmental,Wiler bei Utzenstorf
2,37,Verwaltungskreis Bern-Mittelland,Wileroltigen
5,289,Verwaltungskreis Frutigen-Niedersimmental,Wimmis
2,967,Verwaltungskreis Bern-Mittelland,Wohlen bei Bern
7,11,Verwaltungskreis Oberaargau,Wolfisberg
2,1084,Verwaltungskreis Bern-Mittelland,Worb
9,177,Verwaltungskreis Seeland,Worben
7,108,Verwaltungskreis Oberaargau,Wynau
4,293,Verwaltungskreis Emmental,Wynigen
7,108,Verwaltungskreis Oberaargau,Wyssachen
2,143,Verwaltungskreis Bern-Mittelland,Zäziwil
4,15,Verwaltungskreis Emmental,Zielebach
2,1027,Verwaltungskreis Bern-Mittelland,Zollikofen
2,87,Verwaltungskreis Bern-Mittelland,Zuzwil (BE)
8,314,Verwaltungskreis Obersimmental-Saanen,Zweisimmen
10,17,Verwaltungskreis Thun,Zwieselberg
